rep_genome	members	genomes_in_tree	species
NC_035265	NC_035265,MF101418	MF101418	Caloglossa intermedia
NC_035266	NC_035266,MF101419	NC_035266	Bostrychia moritziana
NC_035267	NC_035267,MF101420	MF101420	Symphyocladiella dendroidea
NC_035268	NC_035268,MF101421	MF101421	Bostrychia simpliciuscula
NC_035269	NC_035269,MF101422	MF101422	Caloglossa beccarii
NC_035270	NC_035270,MF101423	NC_035270	Polysiphonia sertularioides
NC_035271	NC_035271,MF101424	MF101424	Rhodomela confervoides
NC_035272	NC_035272,MF101425	MF101425	Leptosiphonia brodiei
NC_035273	NC_035273,MF101426	NC_035273	Vertebrata thuyoides
NC_035274	NC_035274,MF101427	NC_035274	Polysiphonia elongata
NC_035275	NC_035275,MF101428	NC_035275	Polysiphonia stricta
NC_035276	NC_035276,MF101430	NC_035276	Bryothamnion seaforthii
NC_035277	NC_035277,MF101432	MF101432	Polysiphonia infestans
NC_035278	NC_035278,MF101433	MF101433	Vertebrata isogona
NC_035279	NC_035279,MF101434	MF101434	Herposiphonia versicolor
NC_035280	NC_035280,MF101436	NC_035280	Dasya naccarioides
NC_035281	NC_035281,MF101437	NC_035281	Melanothamnus harveyi
NC_035282	NC_035282,MF101438	MF101438	Polysiphonia scopulorum
NC_035283	NC_035283,MF101439	NC_035283	Brongniartella australis
NC_035284	NC_035284,MF101440	NC_035284	Ophidocladus simpliciusculus
NC_035285	NC_035285,MF101441	NC_035285	Spyridia filamentosa
NC_035286	NC_035286,MF101442	NC_035286	Thuretia quercifolia
NC_035287	NC_035287,MF101443	NC_035287	Dasyclonium flaccidum
NC_035288	NC_035288,MF101444	NC_035288	Dipterosiphonia australica
NC_035289	NC_035289,MF101445	MF101445	Sonderella linearis
NC_035291	NC_035291,MF101447	NC_035291	Thaumatella adunca
NC_035292	NC_035292,MF101448	MF101448	Lophocladia kuetzingii
NC_035293	NC_035293,MF101449	MF101449	Kuetzingia canaliculata
NC_035294	NC_035294,MF101450	NC_035294	Cliftonaea pectinata
NC_035295	NC_035295,MF101452	NC_035295	Taenioma perpusillum
NC_035296	NC_035296,MF101454	MF101454	Kapraunia schneideri
NC_035297	NC_035297,MF101455	MF101455	Dictyomenia sonderi
NC_035298	NC_035298,MF101465	MF101465	Digenea simplex
NC_035299	NC_035299,MF101467	MF101467	Tolypiocladia glomerulata
NC_035350	NC_035350,KY083067	NC_035350	Compsopogon caeruleus
NC_035573	NC_035573,MF385003	NC_035573	Porphyra umbilicalis
NC_035720	NC_035720,KY856939	NC_035720	Cryptomonas curvata
NC_035721	NC_035721,KY860574,KY856941	KY856941	Chroomonas placoidea
NC_036668	NC_036668,KU847995	NC_036668	Pectinodesmus pectinatus
NC_036805	NC_036805,KY629616	NC_036805	Chlorella heliozoae
NC_036806	NC_036806,KY629620	NC_036806	Micractinium conductrix
NC_036937	NC_036937,MG520331,KJ201907	KJ201907	Chrysochromulina tobinii
NC_037363	NC_037363,KY819063	KY819063	Bryopsis sp. HV04063
NC_037364	NC_037364,KY819064	NC_037364	Chlorodesmis fastigiata
NC_037365	NC_037365,KY819065	KY819065	Rhipilia penicilloides
NC_037366	NC_037366,KY819066	KY819066	Codium arenicola
NC_037450	NC_037450,MF197535		Prototheca ciferrii
NC_037480	NC_037480,AP018373		Prototheca cutis
NC_037918	NC_037918,MF276976	MF276976	Lacunastrum gracillimum
NC_037919	NC_037919,MF276977,MF276980	MF276977	Pediastrum angulosum
NC_037920	NC_037920,MF276982,MF276983	MF276982	Pseudopediastrum boryanum
NC_037921	NC_037921,MF276984	MF276984	Pseudopediastrum integrum
NC_037922	NC_037922,MF276985	MF276985	Pseudopediastrum sp. CL0201VA
NC_037923	NC_037923,MF276986	MF276986	Stauridium tetras
NC_037995	NC_037995,MG755792	MG755792	Plagiogramma staurophorum
NC_037996	NC_037996,MG755793	NC_037996	Rhizosolenia setigera
NC_037997	NC_037997,MG755794	NC_037997	Plagiogrammopsis vanheurckii
NC_037998	NC_037998,MG755796	NC_037998	Guinardia striata
NC_037999	NC_037999,MG755798	MG755798	Attheya longicornis
NC_038000	NC_038000,MG755799	NC_038000	Actinocyclus subtilis
NC_038001	NC_038001,MG755800	MG755800	Entomoneis sp.
NC_038002	NC_038002,MG755801	MG755801	Pseudictyota dubia
NC_038003	NC_038003,MG755802	NC_038003	Rhizosolenia fallax
NC_038004	NC_038004,MG755803	NC_038004	Psammoneis obaidii
NC_038006	NC_038006,MG755805	NC_038006	Biddulphia biddulphiana
NC_038007	NC_038007,MG755806	MG755806	Biddulphia tridens
NC_038008	NC_038008,MG755807		Astrosyne radiata
NC_038009	NC_038009,MG755808	NC_038009	Acanthoceras zachariasii
NC_038051	NC_038051,KY018922,NC_033877,KX601051	KY018922	Gracilaria changii
NC_038144	NC_038144,KY212106	KY212106	Porolithon onkodes
NC_038187	NC_038187,MF630936	MF630936	Euglena clara
NC_038215	NC_038215,MG601102	MG601102	Cyanophora sudae
NC_038216	NC_038216,MG601103	MG601103	Cyanophora biloba
NC_038231	NC_038231,MF460360	MF460360	Endarachne binghamiae
NC_039141	NC_039141,MH396011	MH396011	Gracilaria gracilis
NC_039144	NC_039144,MH396015,NC_038100,MF372957	NC_038100	Gracilariopsis heteroclada
NC_039145	NC_039145,MH396016	MH396016	Melanthalia intermedia
NC_039156	NC_039156,MF622086	MF622086	Euglena hiemalis
NC_039520	NC_039520,MH591103	NC_039520	Boodleopsis pusilla
NC_039521	NC_039521,MH591104	MH591104	Boodleopsis sp. H.0758
NC_039522	NC_039522,MH591105	MH591105	Callipsygma wilsonis
NC_039523	NC_039523,MH591106	NC_039523	Caulerpa verticillata
NC_039524	NC_039524,MH591107	NC_039524	Codium arabicum
NC_039525	NC_039525,MH591109	MH591109	Pseudocodium devriesii
NC_039526	NC_039526,MH591110	MH591110	Rhipiliopsis peltata
NC_039527	NC_039527,MH591111	NC_039527	Udotea argentea
NC_039528	NC_039528,MH591112	NC_039528	Udotea flabellum
NC_039737	NC_039737,MG976688,KY124271,KX897545	NC_039737	Paulinella micropora
NC_039754	NC_039754,MH285950	MH285950	Yamagishiella unicocca
NC_039755	NC_039755,MH285951	NC_039755	Volvox africanus
NC_039766	NC_039766,MH591108	MH591108	Pedobesia claviformis
NC_039920	NC_039920,MH790906,MG727869	MG727869	Capsosiphon fulvescens
NC_039927	NC_039927,MH898673	MH898673	Phacus pleuronectes
NC_039928	NC_039928,MH898674	NC_039928	Lepocinclis ovum
NC_039967	NC_039967,MH898667	MH898667	Phacus inflexus
NC_039968	NC_039968,MH898668	MH898668	Lepocinclis tripteris
NC_039969	NC_039969,MH898670	MH898670	Discoplastis spathirhyncha
NC_039970	NC_039970,MH898671	MH898671	Lepocinclis playfairiana
NC_039971	NC_039971,MH898672	MH898672	Lepocinclis steinii
NC_039977	NC_039977,MH281626	MH281626	Synarthrophyton chejuense
NC_039978	NC_039978,MH281628	NC_039978	Neogoniolithon spectabile
NC_040134	NC_040134,MH795130	MH795130	Synura uvella
NC_040135	NC_040135,MH795131	NC_040135	Mallomonas splendens
NC_040152	NC_040152,MF167425	NC_040152	Glaucocystis incrassata
NC_040153	NC_040153,MF167426	MF167426	Gloeochaete wittrockiana
NC_040294	NC_040294,MK281452	NC_040294	Characiopsis acuta
NC_040295	NC_040295,MK281453,NC_026851,KJ624065	MK281453	Eustigmatophyceae sp. Bat 8/9-7w
NC_040296	NC_040296,MK281454	NC_040296	Eustigmatophyceae sp. Chic 10/23 P-6w
NC_040297	NC_040297,MK281455	NC_040297	Eustigmatophyceae sp. Mont 10/10-1w
NC_040298	NC_040298,MK281456	NC_040298	Eustigmatophyceae sp. Ndem 8/9T-3m6.8
NC_040299	NC_040299,MK281457	MK281457	Pseudellipsoidion edaphicum
NC_041173	NC_041173,NC_041174,NC_041175,MG922858,MG922861,MG922862,NC_040156,NC_040158,MG922860,MG922864	MG922861	Gelidium galapagense
NC_042170	NC_042170,MH026107	NC_042170	Acrochaetium secundatum
NC_042171	NC_042171,MH026108	MH026108	Balbiania investiens
NC_042181	NC_042181,MF423120	MF423120	Coelastrella saipanensis
NC_042182	NC_042182,MG778173	MG778173	Chlorococcum tatrense
NC_042241	NC_042241,MG786420	MG786420	Parallela transversalis
NC_042251	NC_042251,MG778500	NC_042251	Spermatozopsis similis
NC_042483	NC_042483,MK085986	NC_042483	Chloropicon sieburthii
NC_042484	NC_042484,MK085987	NC_042484	Chloropicon laureae
NC_042486	NC_042486,MK085991,MK085992	MK085992	Chloropicon roscoffensis
NC_042487	NC_042487,MK085993	MK085993	Chloroparvula japonica
NC_042488	NC_042488,MK085994	NC_042488	Chloropicon maureeniae
NC_042489	NC_042489,MK085995	MK085995	Chloroparvula pacifica
NC_042794	NC_042794,MH853471	MH853471	Pleurostichidium falkenbergii
NC_043776	NC_043776,MK580484		Trentepohlia odorata
NC_043890	NC_043890,MK561360	NC_043890	Rhizochromulina marina
NC_043929	NC_043929,MK561359	NC_043929	Dictyocha speculum
NC_044407	NC_044407,MK518352	NC_044407	Florenciella parvula
NC_044408	NC_044408,MK518353	MK518353	Pseudopedinella elastica
NC_044463	NC_044463,NC_044464,MK045450,MK045451	NC_044463	Halamphora americana
NC_044465	NC_044465,MK045452	NC_044465	Halamphora coffeaeformis
NC_044491	NC_044491,MH681881	MH681881	Haslea nusantara
NC_044704	NC_044704,MN056173	MN056173	Microrhizoidea pickettheapsiorum
NC_044758	NC_044758,MF591718	MF591718	Hapterophycus canaliculatus
NC_044785	NC_044785,MN065498		Nitzschia alba
NC_045059	NC_045059,MF197536		Prototheca bovis
NC_045244	NC_045244,MK217824	NC_045244	Fragilariopsis cylindrus
NC_045893	NC_045893,MH511734	NC_045893	Colemanosphaera angeleri
NC_045914	NC_045914,MH745228	MH745228	Caulerpa ashmeadii
NC_046005	NC_046005,MG739403	NC_046005	Cladosiphon okamuranus
NC_046042	NC_046042,MN053319	MN053319	Gracilaria spinulosa
NC_046043	NC_046043,MN053320	MN053320	Gracilaria textorii
NC_046495	NC_046495,MN967052,AB807662	NC_046495	Palmaria decipiens
NC_046751	NC_046751,MK783267	NC_046751	Halymenia maculata
NC_047430	NC_047430,MN701586	NC_047430	Uronema confervicola
NC_047431	NC_047431,MN701587	MN701587	Chaetophoropsis polyrhiza
NC_047434	NC_047434,MT193838	NC_047434	Caulacanthus okamurae
NC_047440	NC_047440,MN701585	MN701585	Aphanochaete elegans
NC_047441	NC_047441,MN659373	NC_047441	Aphanochaete confervicola
NC_049013	NC_049013,MT364382,NC_020371,KC573041	NC_020371	Diacronema lutheri
NC_049168	NC_049168,MT304829,NC_040291,MF795089	MF795089	Tisochrysis lutea
NC_051457	NC_051457,MH898941	NC_051457	Osmundea sinicola
NC_053611	NC_053611,NC_053612,MT179348,MT179349,LC507117,MN853875	MN853875	Ulva pertusa
NC_053868	NC_053868,MT226925	NC_053868	Schizocladia ischiensis
NC_056103	NC_056103,MT909785		Pteridomonas danica
NC_056787	NC_056787,MT383638	MT383638	Nitzschia supralitorea
NC_056790	NC_056790,MT383641,NC_015403,AP011960	NC_015403	Fistulifera solaris
NC_056791	NC_056791,MT383642	MT383642	Tryblionella apiculata
NC_056794	NC_056794,MT383645	MT383645	Navicula veneta
NC_056910	NC_056910,MW175522	NC_056910	Poterioochromonas malhamensis
NC_057170	NC_057170,MT859097	NC_057170	Olisthodiscus luteus
NC_057222	NC_057222,MW292565	MW292565	Cumathamnion serrulatum
NC_057618	NC_057618,MW309501	MW309501	Chondria tumulosa
NC_057645	NC_057645,MW412838	NC_057645	Eucampia zodiacus
NC_058651	NC_058651,NC_058660,MZ336044,MZ336056	NC_058660	Gracilaria domingensis
NC_058652	NC_058652,NC_058658,NC_058659,NC_058669,MZ336045,MZ336053,MZ336054,MZ336055,MZ336072	NC_058669	Crassiphycus usneoides
NC_058653	NC_058653,MZ336046	NC_058653	Gracilaria bursa-pastoris
NC_058654	NC_058654,MZ336047,NC_039139,MH396009	NC_058654	Gracilaria caudata
NC_058655	NC_058655,MZ336048	MZ336048	Gracilaria cearensis
NC_058656	NC_058656,MZ336049,MZ336058,NC_039140,MH396010	NC_058656	Gracilaria cervicornis
NC_058657	NC_058657,MZ336052	NC_058657	Gracilaria cliftonii
NC_058661	NC_058661,NC_058664,MZ336059,MZ336062	MZ336059	Gracilaria flabelliformis
NC_058662	NC_058662,NC_058665,NC_058667,MZ336060,MZ336063,MZ336068,MZ336069,MZ336070	MZ336060	Gracilaria isabellana
NC_058663	NC_058663,MZ336061		Gracilaria multipartita
NC_058666	NC_058666,MZ336064,MZ336065	MZ336064	Gracilaria pacifica
NC_058668	NC_058668,MZ336071	NC_058668	Gracilaria urvilleii
NC_058670	NC_058670,MZ336074,MZ336075,NC_039143,MH396014	MZ336075	Gracilariopsis tenuifrons
NC_058737	NC_058737,MZ393452,MZ393453,MZ393454,MZ393455,NC_031145,KX284715	KX284715	Ahnfeltia plicata
NC_058751	NC_058751		Chorda filum
NC_058752	NC_058752,MN853881,NC_036804,KY433579	KY433579	Dictyopteris divaricata
NC_058780	NC_058780,NC_058781,MW715816,MW722940	MW722940	Pseudo-nitzschia micropora
NC_058782	NC_058782,MW722941	NC_058782	Pseudo-nitzschia americana
NC_058783	NC_058783,MW722942	MW722942	Pseudo-nitzschia pungens
NC_058784	NC_058784,MW722943	MW722943	Pseudo-nitzschia multistriata
NC_058785	NC_058785,MW722944	MW722944	Pseudo-nitzschia cuspidata
NC_058875	NC_058875,MW592696	NC_058875	Thalassiosira profunda
NC_058876	NC_058876,MW592697	NC_058876	Thalassiosira rotula
NC_058877	NC_058877,MW592698	MW592698	Thalassiosira nordenskioeldii
NC_058878	NC_058878,MW592699	NC_058878	Thalassiosira tenera
NC_059722	NC_059722,MW077730	MW077730	Nephroselmis pyriformis
NC_059929	NC_059929,MW561224	NC_059929	Coscinodiscus wailesii
NC_060531	NC_060531,MW822747		Cephaleuros virescens
NC_060532	NC_060532,MW822748		Trentepohlia sp. BN17
NC_060533	NC_060533,MZ334627		Cephaleuros parasiticus
NC_060534	NC_060534,MZ334628		Cephaleuros karstenii
NC_060857	NC_060857,OK574455,OK637332,OK637334	OK637332	Thalassionema bacillare
NC_060858	NC_060858,OK574456,OK637333,OK637335	OK637333	Thalassionema frauenfeldii
NC_060859	NC_060859,OK574457	OK574457	Thalassionema nitzschioides
NC_061046	NC_061046,OK505007	NC_061046	Nitzschia ovalis
NC_061047	NC_061047,OK505008	NC_061047	Nitzschia traheaformis
NC_061048	NC_061048,OK505011	OK505011	Psammodictyon constrictum
NC_061049	NC_061049,OK505012	OK505012	Bacillaria paxillifer
NC_061768	NC_061768,MW485980,MG922855,NC_016735	MG922855	Fucus spiralis
NC_062300	NC_062300,MZ853149	MZ853149	Porphyridium aerugineum
NC_062301	NC_062301,MZ853150	NC_062301	Rhodella violacea
NC_062379	NC_062379,MZ680365	MZ680365	Chroothece richteriana
NC_062380	NC_062380,MZ680366,MW675661	MW675661	Tsunamia transpacifica
NC_062381	NC_062381,MZ603803	MZ603803	Chroodactylon ornatum
NC_062382	NC_062382,MZ603804	MZ603804	Goniotrichopsis reniformis
NC_062383	NC_062383,MZ603805	NC_062383	Rhodospora sordida
NC_062384	NC_062384,MZ603806	NC_062384	Stylonema alsidii
NC_062385	NC_062385,MZ681963,MW675671,MW675672	MW675671,MW675672	Madagascaria erythrocladioides
NC_062386	NC_062386,MZ681964,MW675664	NC_062386	Pseudoerythrocladia kornmannii
NC_062387	NC_062387,MZ681965	NC_062387	Pulvinaster venetus
NC_062388	NC_062388,MZ681966	MZ681966	Dixoniella grisea
NC_062389	NC_062389,MZ681967	MZ681967	Sahlingia subintegra
NC_062390	NC_062390,MZ748306	MZ748306	Timspurckia oligopyrenoides
NC_062391	NC_062391,MZ853148	NC_062391	Erythrolobus coxiae
NC_062392	NC_062392,MZ569052	MZ569052	Bangia atropurpurea
NC_062393	NC_062393,MZ603618	NC_062393	Rhodaphanes brevistipitata
NC_062394	NC_062394,MZ895126	MZ895126	Glaucosphaera vacuolata
NC_063631	NC_063631,MT896718	MT896718	Chaetoceros gelidus
NC_063632	NC_063632,MT896719	MT896719	Pterothamnion plumula
NC_063633	NC_063633,MT896720	NC_063633	Cosmarium blyttii
NC_063634	NC_063634,MT896722,NC_030357,KU646492	NC_063634	Cosmarium ochthodes
NC_063675	NC_063675,OM479425	OM479425	Leontynka pallida
NC_065317	NC_065317,ON228255	NC_065317	Gonyostomum semen
NC_065318	NC_065318,ON228256	NC_065318	Merotricha bacillata
NC_065319	NC_065319,ON228257	NC_065319	Vacuolaria virescens
NC_065320	NC_065320,ON228258	ON228258	Chattonella marina
NC_065321	NC_065321,ON228259	ON228259	Haramonas pauciplastida
NC_065322	NC_065322,ON228260	NC_065322	Fibrocapsa japonica
NC_065377	NC_065377,ON584177	NC_065377	Halimeda opuntia
NC_065388	NC_065388,ON645924	ON645924	Nitzschia dubiiformis
NC_065389	NC_065389,ON645925	ON645925	Symbiochloris sp. SG-2018
NC_065488	NC_065488,MZ504745,MK212028,NC_040300,MK281458,KX839261	NC_065488	Vischeria punctata
NC_065695	NC_065695,ON645926	ON645926	Tetraselmis marina
NC_066049	NC_066049,OM471840	OM471840	Synarthrophyton patena
NC_066075	NC_066075,OL415005	NC_066075	Navicula arenaria
NC_066077	NC_066077,OL415008	OL415008	Pleurosigma intermedium
NC_066178	NC_066178,ON929294	ON929294	Chlorobotrys sp.
NC_066179	NC_066179,ON929295	NC_066179	Eustigmatophyceae sp. WTwin 8/9 T-6m6.8
NC_066180	NC_066180,ON929296	ON929296	Neustupella aerophytica
NC_066181	NC_066181,ON938208	NC_066181	Lietzensia polymorpha
NC_066452	NC_066452,MZ682024	MZ682024	Hypnea cervicornis
NC_066457	NC_066457,NC_066458,NC_066459,NC_066050,ON675439,ON675440,ON675441,ON675442,ON675443,ON660588,NC_064730,NC_064732,NC_064337,MW485981,MW485983,ON146599,OK323194,MW767830,MW784163,MW784164,MW784165,MW784166,MW784167,MW784168,MW784169,MT873582,MT795188,MT795189,MT800998,NC_048511,MN265366,MN794016,MN121852,MG459429,NC_029856,KP881334,NC_029134,KU500638	NC_066457	Sargassum fulvellum
NC_066651	NC_066651,OP124049	NC_066651	Desmodesmus abundans
NC_066823	NC_066823,OL839336	OL839336	Gormaniella terricola
NC_066970	NC_066970,OK139149	OK139149	Caulerpa taxifolia
NC_066971	NC_066971,OK139150,AP018129,MN853877,NC_037841,MG598531,NC_021618,KC894740	NC_021618	Phyllymenia taiwanensis
NC_066976	NC_066976,OK136184	OK136184	Eutreptiella eupharyngea
NC_067041	NC_067041,OK500205	NC_067041	Tetraselmis suecica
NC_067581	NC_067581,OK729589	OK729589	Haslea pseudostrearia
NC_067582	NC_067582,NC_067583,OK729590,OK729591,OK729592,OK729593,MW561351	OK729593	Haslea karadagensis
NC_067951	NC_067951,OL855989	NC_067951	Helicotheca tamesis
NC_067952	NC_067952,OL855990	OL855990	Ditylum brightwellii
NC_067953	NC_067953,OL855991	OL855991	Lithodesmioides polymorpha
NC_067954	NC_067954,OL855992	NC_067954	Hemiaulus sinensis
NC_067955	NC_067955,OL855993,NC_001713	NC_001713	Trieres chinensis
NC_067956	NC_067956,OL855995	OL855995	Minidiscus spinulatus
NC_067957	NC_067957,OL855996	NC_067957	Tenuicylindrus belgicus
NC_068582	NC_068582,ON619891	ON619891	Coelastrum microporum
NC_068622	NC_068622,OP597708	NC_068622	Chlorogonium euchlorum
NC_068623	NC_068623,OP298011	OP298011	Chlamydomonas chlamydogama
NC_068624	NC_068624,OP392028	NC_068624	Hyalomonas oviformis
NC_069042	NC_069042,ON243964	NC_069042	Cryptomonas pyrenoidifera
NC_069043	NC_069043,ON243965	NC_069043	Edaphochlamys debaryana
NC_069609	NC_069609,OM827249	NC_069609	Stephanopyxis turris
NC_069610	NC_069610,OM827250	OM827250	Paralia sulcata
NC_069611	NC_069611,OM827252	OM827252	Guinardia delicatula
NC_069636	NC_069636,ON437585	ON437585	Chrysotila carterae
NC_070142	NC_070142,OP748263	OP748263	Rhodomelopsis africana
NC_070143	NC_070143,OP748264	OP748264	Deltalsia parasitica
NC_070144	NC_070144,OP748265	NC_070144	Pterosiphonia complanata
NC_070145	NC_070145,OP748266	NC_070145	Amplisiphonia pacifica
NC_070146	NC_070146,OP748267	NC_070146	Xiphosiphonia pinnulata
NC_070147	NC_070147,OP748268	OP748268	Tayloriella tenebrosa
NC_070148	NC_070148,OP748269	OP748269	Symphyocladia marchantioides
NC_071859	NC_071859,OP179277	NC_071859	Colacium mucronatum
NC_071860	NC_071860,OP179278	OP179278	Euglena agilis
NC_071861	NC_071861,OP179279	OP179279	Euglena deses
NC_071862	NC_071862,OP179280	OP179280	Euglena undulata
NC_071863	NC_071863,OP179281	OP179281	Flexiglena variabilis
NC_071864	NC_071864,OP179282	NC_071864	Phacus arnoldii
NC_071865	NC_071865,OP179283	OP179283	Strombomonas costata
NC_071969	NC_071969,OP448647	OP448647	Micractinium simplicissimum
NC_072236	NC_072236,OP616815,OP616816,MZ681961	OP616815	Galdieria sulphuraria
NC_072617	NC_072617,OM179747	OM179747	Hypnea spinella
NC_072659	NC_072659,OQ417768	OQ417768	Phymatolithon calcareum
NC_072660	NC_072660,OQ417769	NC_072660	Lithothamnion corallioides
NC_072900	NC_072900,ON986218	ON986218	Phyllosiphon coccidium
NC_072901	NC_072901,ON986220	ON986220	Kalinella pachyderma
NC_072902	NC_072902,ON986221	ON986221	Massjukichlorella minus
NC_072903	NC_072903,ON986222	NC_072903	Calidiella yingdensis
NC_072904	NC_072904,ON986223	ON986223	Watanabea sichuanensis
NC_072905	NC_072905,ON986224	ON986224	Polulichloris maxima
NC_072923	NC_072923,NC_072924,OQ159090,OQ159091	NC_072923	Gayralia brasiliensis
NC_072969	NC_072969,ON892539	ON892539	Phaeocystis rex
NC_077586	NC_077586,OQ612619	NC_077586	Cryptomonas gyropyrenoidosa
NC_077591	NC_077591,OP985133,NC_067776,OL684341,MN853879,MW699788,KP720616	OP985133	Ulva meridionalis
NC_079641	NC_079641,OQ731396	OQ731396	Lophurella caespitosa
NC_079642	NC_079642,NC_079643,OQ731397,OQ731398	OQ731398	Lophurella mutabilis
NC_079644	NC_079644,OQ731400	OQ731400	Aphanocladia stichidiosa
NC_079645	NC_079645,OQ731401,NC_035290,MF101446	NC_079645	Aphanocladia delicatula
NC_079646	NC_079646,OQ731402	OQ731402	Echinothamnion hookeri
NC_079647	NC_079647,OQ731403	NC_079647	Echinothamnion hystrix
NC_079843	NC_079843,OQ731916	OQ731916	Campylaephora boydenii
NC_081592	NC_081592,OL964140	NC_081592	Hypnea nidifica
NC_081593	NC_081593,OL964141	NC_081593	Hypnea nidulans
NC_081594	NC_081594,OL964143	OL964143	Hypnea flava
NC_081595	NC_081595,NC_081599,OL964144,OL964146,OL964152,OL964153,OL964154	OL964144	Hypnea pseudomusciformis
NC_081596	NC_081596,NC_081597,OL964147,OL964148	NC_081596	Hypnea cornuta
NC_081598	NC_081598,OL964151	OL964151	Hypnea wynnei
NC_081600	NC_081600,OL964155	NC_081600	Caulacanthus ustulatus
NC_081601	NC_081601,OL964156	NC_081601	Catenella fusiformis
NC_081925	NC_081925,OR094252	OR094252	Colpomenia sinuosa
NC_081973	NC_081973,OR128541	OR128541	Neoporphyra seriata
NC_082037	NC_082037,OR148361	OR148361	Ochrosphaera neapolitana
NC_082067	NC_082067,OR168091	OR168091	Hormidiella parvula
NC_082068	NC_082068,OR168092,OR168093,OR168094	OR168094	Interfilum sp. SAG 2147
NC_082069	NC_082069,NC_082072,OR168095,OR168102	OR168095	Klebsormidium crenulatum
NC_082070	NC_082070,OR168096,OR168097,OR168107,OR168108	OR168107	Klebsormidium sp. SEV1-VF17pt
NC_082071	NC_082071,OR168098	NC_082071	Klebsormidium elegans
NC_082073	NC_082073,OR168100,OR168103,OR168104,OR168105,OR168106	OR168106	Klebsormidium nitens
NC_082074	NC_082074,OR168111	OR168111	Klebsormidium subtilissimum
NC_082075	NC_082075,OR168114,KX306884	OR168114	Nitella hyalina
NC_082076	NC_082076,OR168115,OR168116,OR168117	NC_082076	Streptofilum capillatum
NC_082175	NC_082175,OR228415		Palisada intermedia
NC_082194	NC_082194,OQ161668,OQ161669,OQ161671	OQ161668	Meringosphaera mediterranea
NC_082433	NC_082433,OQ694380	OQ694380	Ulnaria ulna
NC_082854	NC_082854,OQ908871	OQ908871	Laurencia catarinensis
NC_082855	NC_082855,OQ908872	NC_082855	Corynecladia elata
NC_082856	NC_082856,OQ908870,OQ908873	NC_082856	Laurencia obtusa
NC_082858	NC_082858,OR382008	OR382008	Gloiopeltis furcata
NC_084208	NC_084208,OR597590,KP714733	KP714733	Bangia fuscopurpurea
NC_084248	NC_084248,OR635816	OR635816	Grateloupia asiatica
NC_084249	NC_084249,OR635817	OR635817	Polyopes affinis
NC_084250	NC_084250,OR635818	OR635818	Pachymeniopsis lanceolata
NC_084269	NC_084269,OR398345	NC_084269	Hydrocytium acuminatum
NC_084366	NC_084366,NC_085307,ON552970,OR663914,NC_057231,NC_056288,MZ156034,MZ156035,MT732096,MN561187,NC_044689,NC_044690,MH784527,MH784528,NC_044182,MK965908	NC_044689	Laminaria digitata
NC_085234	NC_085234,NC_085309,ON552972,ON527003,OP121027,OP121028,OP121029,OP121030,OP121031,OP121032,OP121033,OP121034,OP121035,OP121036,OP121037,OP121038,OP121039,OP121040,OP121041,OP121042,OP121043,OP121044,OP121045,OP121046,OP121047,OP121048,OP121049,OP121050,OP121051,OP121052,OP121053,OP121054,OP121055,OP121056,OP121057,OP121058,OP121059,OP121060,OP121061,OP121062,OP121063,OP121064,OP121065,OP121066,OP121067,OP121068,OP121069,OP121070,OP121071,OP121072,OP121073,OP121074,OP121075,OP121076,OP121077,OP121078,OP121079,OP121080,OP121081,OP121082,OP121083,OP121084,OP121085,OP121086,OP121087,OP121088,OP121089,OK139151,OK139152,OK139153,OK149043,OK149044,OK149045,OK149046,OK149047,OK149048,OK149049,OK149050,OK149051,OK149052,OK149053,OK149054,OK149055,OK149056,OK149057,OK149058,OK149059,OK149060,OK149063,OK149064,OK149065,OK149066,OK149067,OK149068,OK149069,OK149070,OK149071,OK149072,OK149073,OK149074,OK149075,OK149076,OK149077,OK149078,OK149079,OK149080,OK149081,OK149082,OK149083,OK149084,OK149085,OK149086,OK149087,OK149088,OK149089,OK149090,OK149091,OK149092,OK149093,OK149094,OK149095,OK149096,OK149097,OK149098,OK149099,OK149100,OK149101,NC_058768,NC_058769,NC_058770,NC_058771,NC_058772,MZ504642,MZ504643,MZ504644,MZ504645,MZ504646,MZ504647,MZ504648,MZ504649,MZ504650,MZ504651,MZ504652,MZ504653,MZ504654,MZ504655,MZ504656,MZ504657,MZ504658,MZ504659,MZ504660,MZ504661,MZ156029,MZ156033,MZ156044,MT767060,MT767062,KU200463,NC_028503,KP298002	NC_058769	Alaria marginata
NC_085293	NC_085293,NC_085299,NC_085301,NC_085306,ON552953,ON552958,ON552960,ON552962,ON552968,MZ706293,MZ156036,MZ156042,NC_028502,KR336545	NC_085301	Dictyoneurum californicum
NC_085294	NC_085294,ON552954	NC_085294	Analipus japonicus
NC_085295	NC_085295,ON552955	ON552955	Aureophycus aleuticus
NC_085296	NC_085296,ON552956,MZ156037	ON552956	Chorda asiatica
NC_085297	NC_085297,ON552957	NC_085297	Choristocarpus tenellus
NC_085298	NC_085298,ON552959	NC_085298	Cutleria multifida
NC_085300	NC_085300,ON552961,MZ156041	NC_085300	Desmarestia aculeata
NC_085302	NC_085302,ON552963	ON552963	Dictyotopsis propagulifera
NC_085305	NC_085305,ON552967	ON552967	Halosiphon tomentosus
NC_085308	NC_085308,ON552971	ON552971	Phaeostrophion irregulare
