genomeid	length	type	structure	release_date
OK189528	87754	DNA	circular	26-SEP-2022
OK189529	81111	DNA	circular	26-SEP-2022
OK189530	80761	DNA	circular	26-SEP-2022
OK189531	80614	DNA	circular	26-SEP-2022
OK136183	66382	DNA	circular	25-SEP-2022
OK136184	105379	DNA	circular	25-SEP-2022
OK136185	79180	DNA	circular	25-SEP-2022
OK136186	78986	DNA	circular	25-SEP-2022
OK139149	143328	DNA	circular	25-SEP-2022
OK139150	188575	DNA	circular	25-SEP-2022
OK139151	130358	DNA	circular	25-SEP-2022
OK139152	130358	DNA	circular	25-SEP-2022
OK139153	130358	DNA	circular	25-SEP-2022
OK149043	130615	DNA	circular	25-SEP-2022
OK149044	130615	DNA	circular	25-SEP-2022
OK149045	130615	DNA	circular	25-SEP-2022
OK149046	130616	DNA	circular	25-SEP-2022
OK149047	130613	DNA	circular	25-SEP-2022
OK149048	130608	DNA	circular	25-SEP-2022
OK149049	130625	DNA	circular	25-SEP-2022
OK149050	130616	DNA	circular	25-SEP-2022
OK149051	130615	DNA	circular	25-SEP-2022
OK149052	130615	DNA	circular	25-SEP-2022
OK149053	130638	DNA	circular	25-SEP-2022
OK149054	130611	DNA	circular	25-SEP-2022
OK149055	130615	DNA	circular	25-SEP-2022
OK149056	130604	DNA	circular	25-SEP-2022
OK149057	130590	DNA	circular	25-SEP-2022
OK149058	130611	DNA	circular	25-SEP-2022
OK149059	130634	DNA	circular	25-SEP-2022
OK149060	130620	DNA	circular	25-SEP-2022
OK149063	130606	DNA	circular	25-SEP-2022
OK149064	130610	DNA	circular	25-SEP-2022
OK149065	130597	DNA	circular	25-SEP-2022
OK149066	130603	DNA	circular	25-SEP-2022
OK149067	130591	DNA	circular	25-SEP-2022
OK149068	130596	DNA	circular	25-SEP-2022
OK149069	130632	DNA	circular	25-SEP-2022
OK149070	130598	DNA	circular	25-SEP-2022
OK149071	130603	DNA	circular	25-SEP-2022
OK149072	130603	DNA	circular	25-SEP-2022
OK149073	130593	DNA	circular	25-SEP-2022
OK149074	130598	DNA	circular	25-SEP-2022
OK149075	130603	DNA	circular	25-SEP-2022
OK149076	130598	DNA	circular	25-SEP-2022
OK149077	130598	DNA	circular	25-SEP-2022
OK149078	130603	DNA	circular	25-SEP-2022
OK149079	130606	DNA	circular	25-SEP-2022
OK149080	130603	DNA	circular	25-SEP-2022
OK149081	130603	DNA	circular	25-SEP-2022
OK149082	130613	DNA	circular	25-SEP-2022
OK149083	130603	DNA	circular	25-SEP-2022
OK149084	130598	DNA	circular	25-SEP-2022
OK149085	130594	DNA	circular	25-SEP-2022
OK149086	130600	DNA	circular	25-SEP-2022
OK149087	130600	DNA	circular	25-SEP-2022
OK149088	130600	DNA	circular	25-SEP-2022
OK149089	130600	DNA	circular	25-SEP-2022
OK149090	130600	DNA	circular	25-SEP-2022
OK149091	130794	DNA	circular	25-SEP-2022
OK149092	130605	DNA	circular	25-SEP-2022
OK149093	130600	DNA	circular	25-SEP-2022
OK149094	130600	DNA	circular	25-SEP-2022
OK149095	130598	DNA	circular	25-SEP-2022
OK149096	130600	DNA	circular	25-SEP-2022
OK149097	130591	DNA	circular	25-SEP-2022
OK149098	130591	DNA	circular	25-SEP-2022
OK149099	130597	DNA	circular	25-SEP-2022
OK149100	130597	DNA	circular	25-SEP-2022
OK149101	130591	DNA	circular	25-SEP-2022
NC_066452	176446	DNA	circular	14-APR-2023
NC_066457	124277	DNA	circular	10-APR-2023
NC_066458	124517	DNA	circular	12-APR-2023
NC_066459	124514	DNA	circular	13-APR-2023
OL839336	428981	DNA	circular	19-SEP-2022
NC_066049	181685	DNA	circular	12-APR-2023
NC_066050	124368	DNA	circular	12-APR-2023
NC_066074	137691	DNA	circular	17-APR-2023
NC_066075	147331	DNA	circular	14-APR-2023
NC_066076	136784	DNA	circular	17-APR-2023
NC_066077	174382	DNA	circular	13-APR-2023
NC_066178	126383	DNA	circular	17-APR-2023
NC_066179	119531	DNA	circular	18-APR-2023
NC_066180	125957	DNA	circular	18-APR-2023
NC_066181	120721	DNA	circular	18-APR-2023
OP124049	155193	DNA	circular	12-SEP-2022
MZ682024	176446	DNA	circular	05-SEP-2022
ON675439	124277	DNA	circular	05-SEP-2022
ON675440	124175	DNA	circular	05-SEP-2022
ON675441	124517	DNA	circular	05-SEP-2022
ON675442	124514	DNA	circular	05-SEP-2022
ON675443	124400	DNA	circular	05-SEP-2022
ON929294	126383	DNA	circular	30-AUG-2022
ON929295	119531	DNA	circular	30-AUG-2022
ON929296	125957	DNA	circular	30-AUG-2022
ON938208	120721	DNA	circular	30-AUG-2022
OL415004	137691	DNA	circular	28-AUG-2022
OL415005	147331	DNA	circular	28-AUG-2022
OL415006	136784	DNA	circular	28-AUG-2022
OL415007	136746	DNA	circular	28-AUG-2022
OL415008	174382	DNA	circular	28-AUG-2022
OM471840	181685	DNA	circular	27-AUG-2022
ON660588	124368	DNA	circular	27-AUG-2022
NC_065695	96151	DNA	circular	12-APR-2023
NC_065488	126425	DNA	circular	15-APR-2023
NC_065317	122284	DNA	circular	14-APR-2023
NC_065318	123907	DNA	circular	15-APR-2023
NC_065319	137965	DNA	circular	12-APR-2023
NC_065320	138736	DNA	circular	12-APR-2023
NC_065321	177770	DNA	circular	14-APR-2023
NC_065322	248913	DNA	circular	12-APR-2023
NC_065334	130201	DNA	circular	12-APR-2023
NC_065377	106249	DNA	circular	12-APR-2023
NC_065388	179935	DNA	circular	14-APR-2023
NC_065389	158961	DNA	circular	17-APR-2023
ON645926	96151	DNA	circular	01-AUG-2022
MZ504745	126425	DNA	circular	27-JUL-2022
ON645924	179935	DNA	circular	23-JUL-2022
ON645925	158961	DNA	circular	18-OCT-2022
ON584177	106249	DNA	circular	20-JUL-2022
NC_064730	124493	DNA	circular	13-APR-2023
NC_064732	124536	DNA	circular	16-APR-2023
ON227495	130201	DNA	circular	14-JUL-2022
ON228255	122284	DNA	circular	13-JUL-2022
ON228256	123907	DNA	circular	13-JUL-2022
ON228257	137965	DNA	circular	13-JUL-2022
ON228258	138736	DNA	circular	13-JUL-2022
ON228259	177770	DNA	circular	13-JUL-2022
ON228260	248913	DNA	circular	13-JUL-2022
LC716139	71225	DNA	circular	28-SEP-2024
LC716140	100773	DNA	circular	28-SEP-2024
NC_064337	124529	DNA	circular	13-APR-2023
MW485981	124536	DNA	circular	21-JUN-2022
MW485983	124493	DNA	circular	21-JUN-2022
MW900257	156202	DNA	circular	21-JUN-2022
ON146599	124529	DNA	circular	08-JUN-2022
NC_063631	117569	DNA	circular	16-APR-2023
NC_063632	175683	DNA	circular	13-APR-2023
NC_063633	177876	DNA	circular	14-APR-2023
NC_063634	184257	DNA	circular	14-APR-2023
NC_063675	362307	DNA	circular	18-APR-2023
NC_063782	107088	DNA	circular	12-APR-2023
NC_063783	107034	DNA	circular	16-APR-2023
NC_063784	105307	DNA	circular	16-APR-2023
NC_063785	105309	DNA	circular	16-APR-2023
MW561351	129019	DNA	circular	22-MAY-2022
MW408731	64620	DNA	circular	18-MAY-2022
OL322706	109012	DNA	circular	19-MAY-2022
OL322707	109012	DNA	circular	19-MAY-2022
OL691556	107178	DNA	circular	19-MAY-2022
OL703590	105304	DNA	circular	02-JUN-2022
OL703591	108901	DNA	circular	02-JUN-2022
OL703592	107497	DNA	circular	02-JUN-2022
OL703593	105298	DNA	circular	02-JUN-2022
OL703594	105301	DNA	circular	02-JUN-2022
OL703595	105309	DNA	circular	02-JUN-2022
OL703596	105304	DNA	circular	02-JUN-2022
OL703597	107497	DNA	circular	02-JUN-2022
OL703598	105293	DNA	circular	02-JUN-2022
OL703599	105307	DNA	circular	02-JUN-2022
OL703600	108911	DNA	circular	02-JUN-2022
OL703601	109215	DNA	circular	02-JUN-2022
OL703602	105310	DNA	circular	02-JUN-2022
OL703603	105259	DNA	circular	02-JUN-2022
OL703604	105302	DNA	circular	02-JUN-2022
OL703605	107037	DNA	circular	02-JUN-2022
OL703606	107088	DNA	circular	02-JUN-2022
OL703607	105599	DNA	circular	02-JUN-2022
OL703608	107034	DNA	circular	02-JUN-2022
OL703609	105307	DNA	circular	02-JUN-2022
OL703610	105309	DNA	circular	02-JUN-2022
OL703611	105315	DNA	circular	02-JUN-2022
OM479425	362307	DNA	circular	04-MAY-2022
MT896718	117569	DNA	circular	02-MAY-2022
MT896719	175683	DNA	circular	02-MAY-2022
MT896720	177876	DNA	circular	02-MAY-2022
MT896721	123611	DNA	circular	02-MAY-2022
MT896722	184257	DNA	circular	02-MAY-2022
NC_062300	201607	DNA	circular	10-APR-2023
NC_062301	903688	DNA	circular	10-APR-2023
NC_062379	207333	DNA	circular	12-APR-2023
NC_062380	207429	DNA	circular	17-APR-2023
NC_062381	207095	DNA	circular	13-APR-2023
NC_062382	240595	DNA	circular	14-APR-2023
NC_062383	208685	DNA	circular	14-APR-2023
NC_062384	204775	DNA	circular	12-APR-2023
NC_062385	216426	DNA	circular	15-APR-2023
NC_062386	216464	DNA	circular	15-APR-2023
NC_062387	224653	DNA	circular	14-APR-2023
NC_062388	516819	DNA	circular	12-APR-2023
NC_062389	211447	DNA	circular	14-APR-2023
NC_062390	291973	DNA	circular	15-APR-2023
NC_062391	297871	DNA	circular	14-APR-2023
NC_062392	194293	DNA	circular	12-APR-2023
NC_062393	227519	DNA	circular	14-APR-2023
NC_062394	475182	DNA	circular	12-APR-2023
NC_061768	124991	DNA	circular	12-APR-2023
MN909954	175747	DNA	circular	23-MAR-2022
MZ569052	194293	DNA	circular	23-MAR-2022
MZ603618	227519	DNA	circular	23-MAR-2022
MZ603803	207095	DNA	circular	23-MAR-2022
MZ603804	240595	DNA	circular	23-MAR-2022
MZ603805	208685	DNA	circular	23-MAR-2022
MZ603806	204775	DNA	circular	23-MAR-2022
MZ680365	207333	DNA	circular	23-MAR-2022
MZ680366	207429	DNA	circular	23-MAR-2022
MZ681957	145899	DNA	circular	23-MAR-2022
MZ681958	165057	DNA	circular	23-MAR-2022
MZ681959	147875	DNA	circular	23-MAR-2022
MZ681960	147983	DNA	circular	23-MAR-2022
MZ681961	167118	DNA	circular	23-MAR-2022
MZ681962	231003	DNA	circular	23-MAR-2022
MZ681963	216426	DNA	circular	23-MAR-2022
MZ681964	216464	DNA	circular	23-MAR-2022
MZ681965	224653	DNA	circular	23-MAR-2022
MZ681966	516819	DNA	circular	23-MAR-2022
MZ681967	211447	DNA	circular	23-MAR-2022
MZ748306	291973	DNA	circular	23-MAR-2022
MZ853148	297871	DNA	circular	23-MAR-2022
MZ853149	201607	DNA	circular	23-MAR-2022
MZ853150	903688	DNA	circular	23-MAR-2022
MZ895126	475182	DNA	circular	23-MAR-2022
MW485980	124991	DNA	circular	23-MAR-2022
MN709220	1351631	DNA	circular	06-MAR-2022
MT876197	191977	DNA	circular	02-MAR-2022
NC_061046	140703	DNA	circular	03-APR-2023
NC_061047	166822	DNA	circular	03-APR-2023
NC_061048	186015	DNA	circular	03-APR-2023
NC_061049	119449	DNA	circular	03-APR-2023
MN389525	103523	DNA	circular	23-MAY-2023
OK505007	140703	DNA	circular	16-AUG-2022
OK505008	166822	DNA	circular	16-AUG-2022
OK505009	188592	DNA	circular	16-AUG-2022
OK505010	178349	DNA	circular	16-AUG-2022
OK505011	186015	DNA	circular	16-AUG-2022
OK505012	119449	DNA	circular	16-AUG-2022
NC_060531	314936	DNA	circular	03-APR-2023
NC_060532	282795	DNA	circular	26-JUL-2023
NC_060533	266729	DNA	circular	03-APR-2023
NC_060534	371192	DNA	circular	03-APR-2023
NC_060857	124165	DNA	circular	03-APR-2023
NC_060858	140121	DNA	circular	03-APR-2023
NC_060859	131583	DNA	circular	03-APR-2023
MW531676	110889	DNA	circular	26-JAN-2022
OK569791	93001	DNA	circular	15-JAN-2022
LC648950	161036	DNA	circular	17-FEB-2022
LC648951	129626	DNA	circular	17-FEB-2022
LC648952	127096	DNA	circular	17-FEB-2022
LC648953	132527	DNA	circular	17-FEB-2022
LC648954	136048	DNA	circular	17-FEB-2022
LC648955	137219	DNA	circular	17-FEB-2022
LC648956	77590	DNA	circular	17-FEB-2022
LC648957	133646	DNA	circular	17-FEB-2022
LC648958	134045	DNA	circular	17-FEB-2022
LC648959	127075	DNA	circular	17-FEB-2022
LC648960	140665	DNA	circular	17-FEB-2022
LC648961	136151	DNA	circular	17-FEB-2022
LC648962	146033	DNA	circular	17-FEB-2022
LC648963	135163	DNA	circular	17-FEB-2022
LC648964	136088	DNA	circular	17-FEB-2022
LC648965	129092	DNA	circular	17-FEB-2022
MW822747	314936	DNA	circular	10-JAN-2022
MW822748	282795	DNA	circular	24-JUL-2023
MZ334625	216308	DNA	circular	10-JAN-2022
MZ334626	408697	DNA	circular	10-JAN-2022
MZ334627	266729	DNA	circular	10-JAN-2022
MZ334628	371192	DNA	circular	10-JAN-2022
OK574455	124165	DNA	circular	08-JAN-2022
OK574456	140121	DNA	circular	08-JAN-2022
OK574457	131583	DNA	circular	08-JAN-2022
OK637332	124127	DNA	circular	08-JAN-2022
OK637333	140120	DNA	circular	08-JAN-2022
OK637334	124131	DNA	circular	08-JAN-2022
OK637335	139091	DNA	circular	08-JAN-2022
NC_059722	111026	DNA	circular	03-APR-2023
NC_059929	122056	DNA	circular	03-APR-2023
NC_059930	123615	DNA	circular	03-APR-2023
MW660365	116284	DNA	circular	21-NOV-2022
MZ703011	105423	DNA	circular	08-DEC-2021
MK058524	130583	DNA	circular	07-DEC-2021
MK058525	130583	DNA	circular	07-DEC-2021
MK058526	130583	DNA	circular	07-DEC-2021
LC537471	116465	DNA	circular	26-NOV-2021
MK641509	183893	DNA	circular	20-NOV-2021
MN905507	184902	DNA	circular	20-NOV-2021
MZ647689	118106	DNA	circular	20-NOV-2021
OK323194	124385	DNA	circular	17-NOV-2021
MZ561475	92126	DNA	circular	22-MAR-2023
MZ571508	99724	DNA	circular	22-MAR-2023
MZ520768	187029	DNA	circular	03-NOV-2021
NC_058651	179484	DNA	circular	03-APR-2023
NC_058652	183364	DNA	circular	03-APR-2023
NC_058653	181313	DNA	circular	03-APR-2023
NC_058654	183134	DNA	circular	03-APR-2023
NC_058655	182079	DNA	circular	03-APR-2023
NC_058656	180132	DNA	circular	03-APR-2023
NC_058657	180810	DNA	circular	03-APR-2023
NC_058658	182454	DNA	circular	03-APR-2023
NC_058659	181978	DNA	circular	03-APR-2023
NC_058660	179662	DNA	circular	03-APR-2023
NC_058661	179295	DNA	circular	03-APR-2023
NC_058662	181790	DNA	circular	03-APR-2023
NC_058663	179145	DNA	circular	03-APR-2023
NC_058664	178896	DNA	circular	03-APR-2023
NC_058665	179707	DNA	circular	03-APR-2023
NC_058666	152521	DNA	circular	03-APR-2023
NC_058667	179992	DNA	circular	03-APR-2023
NC_058668	178239	DNA	circular	03-APR-2023
NC_058669	183376	DNA	circular	03-APR-2023
NC_058670	184308	DNA	circular	03-APR-2023
NC_058701	127212	DNA	circular	03-APR-2023
NC_058702	127112	DNA	circular	03-APR-2023
NC_058703	127351	DNA	circular	03-APR-2023
NC_058704	127011	DNA	circular	03-APR-2023
NC_058705	126883	DNA	circular	03-APR-2023
NC_058737	193253	DNA	circular	03-APR-2023
NC_058751	143970	DNA	circular	03-APR-2023
NC_058752	126100	DNA	circular	03-APR-2023
NC_058768	130588	DNA	circular	03-APR-2023
NC_058769	130582	DNA	circular	03-APR-2023
NC_058770	130591	DNA	circular	03-APR-2023
NC_058771	130514	DNA	circular	03-APR-2023
NC_058772	130514	DNA	circular	03-APR-2023
NC_058780	122441	DNA	circular	03-APR-2023
NC_058781	123713	DNA	circular	03-APR-2023
NC_058782	116546	DNA	circular	03-APR-2023
NC_058783	124309	DNA	circular	03-APR-2023
NC_058784	123405	DNA	circular	03-APR-2023
NC_058785	123664	DNA	circular	03-APR-2023
NC_058786	133064	DNA	circular	03-APR-2023
NC_058875	129257	DNA	circular	03-APR-2023
NC_058876	129180	DNA	circular	03-APR-2023
NC_058877	128737	DNA	circular	03-APR-2023
NC_058878	138532	DNA	circular	03-APR-2023
NC_058274	129320	DNA	circular	03-APR-2023
NC_058314	129988	DNA	circular	03-APR-2023
MT364368	154978	DNA	circular	18-OCT-2021
MT364369	200832	DNA	circular	18-OCT-2021
AP025008	177965	DNA	circular	05-OCT-2021
MW592696	129257	DNA	circular	11-JAN-2022
MW592697	129180	DNA	circular	11-JAN-2022
MW592698	128737	DNA	circular	11-JAN-2022
MW592699	138532	DNA	circular	11-JAN-2022
MW592700	170005	DNA	circular	11-JAN-2022
MW752443	127601	DNA	circular	11-JAN-2022
MZ706293	130624	DNA	circular	28-SEP-2021
MW715816	122441	DNA	circular	26-SEP-2021
MW722940	123713	DNA	circular	26-SEP-2021
MW722941	116546	DNA	circular	26-SEP-2021
MW722942	124309	DNA	circular	26-SEP-2021
MW722943	123405	DNA	circular	26-SEP-2021
MW722944	123664	DNA	circular	26-SEP-2021
MW722945	123195	DNA	circular	26-SEP-2021
MW853965	158840	DNA	circular	26-SEP-2021
MW853966	133064	DNA	circular	25-MAR-2022
MN853879	88801	DNA	circular	22-SEP-2021
MN853880	143970	DNA	circular	22-SEP-2021
MN853881	126100	DNA	circular	22-SEP-2021
MZ504642	130588	DNA	circular	22-SEP-2021
MZ504643	130608	DNA	circular	22-SEP-2021
MZ504644	130608	DNA	circular	22-SEP-2021
MZ504645	130582	DNA	circular	22-SEP-2021
MZ504646	130556	DNA	circular	22-SEP-2021
MZ504647	130570	DNA	circular	22-SEP-2021
MZ504648	130591	DNA	circular	22-SEP-2021
MZ504649	130589	DNA	circular	22-SEP-2021
MZ504650	130514	DNA	circular	22-SEP-2021
MZ504651	130514	DNA	circular	22-SEP-2021
MZ504652	130572	DNA	circular	22-SEP-2021
MZ504653	130576	DNA	circular	22-SEP-2021
MZ504654	130570	DNA	circular	22-SEP-2021
MZ504655	130602	DNA	circular	22-SEP-2021
MZ504656	130575	DNA	circular	22-SEP-2021
MZ504657	130577	DNA	circular	22-SEP-2021
MZ504658	130574	DNA	circular	22-SEP-2021
MZ504659	130576	DNA	circular	22-SEP-2021
MZ504660	130593	DNA	circular	22-SEP-2021
MZ504661	130600	DNA	circular	22-SEP-2021
MZ393452	191647	DNA	circular	20-SEP-2021
MZ393453	191622	DNA	circular	20-SEP-2021
MZ393454	193253	DNA	circular	20-SEP-2021
MZ393455	194202	DNA	circular	20-SEP-2021
MW679506	127212	DNA	circular	17-APR-2023
MW679507	127112	DNA	circular	17-APR-2023
MW679508	127351	DNA	circular	17-APR-2023
MW679509	127353	DNA	circular	17-APR-2023
MW679510	127011	DNA	circular	17-APR-2023
MW679511	126883	DNA	circular	17-APR-2023
MZ336044	179484	DNA	circular	14-SEP-2021
MZ336045	183364	DNA	circular	14-SEP-2021
MZ336046	181313	DNA	circular	14-SEP-2021
MZ336047	183134	DNA	circular	14-SEP-2021
MZ336048	182079	DNA	circular	14-SEP-2021
MZ336049	180132	DNA	circular	14-SEP-2021
MZ336050	180042	DNA	circular	14-SEP-2021
MZ336051	185684	DNA	circular	14-SEP-2021
MZ336052	180810	DNA	circular	14-SEP-2021
MZ336053	182454	DNA	circular	14-SEP-2021
MZ336054	181978	DNA	circular	14-SEP-2021
MZ336055	181050	DNA	circular	14-SEP-2021
MZ336056	179662	DNA	circular	14-SEP-2021
MZ336057	179371	DNA	circular	14-SEP-2021
MZ336058	180170	DNA	circular	14-SEP-2021
MZ336059	179295	DNA	circular	14-SEP-2021
MZ336060	181790	DNA	circular	14-SEP-2021
MZ336061	179145	DNA	circular	14-SEP-2021
MZ336062	178896	DNA	circular	14-SEP-2021
MZ336063	179707	DNA	circular	14-SEP-2021
MZ336064	152521	DNA	circular	14-SEP-2021
MZ336065	181438	DNA	circular	14-SEP-2021
MZ336066	178841	DNA	circular	14-SEP-2021
MZ336067	179752	DNA	circular	14-SEP-2021
MZ336068	181821	DNA	circular	14-SEP-2021
MZ336069	179992	DNA	circular	14-SEP-2021
MZ336070	190895	DNA	circular	14-SEP-2021
MZ336071	178239	DNA	circular	14-SEP-2021
MZ336072	183376	DNA	circular	14-SEP-2021
MZ336073	182537	DNA	circular	14-SEP-2021
MZ336074	181896	DNA	circular	14-SEP-2021
MZ336075	184308	DNA	circular	14-SEP-2021
NC_057618	172617	DNA	circular	03-APR-2023
NC_057645	118107	DNA	circular	03-APR-2023
MW767830	124414	DNA	circular	03-MAR-2022
NC_056787	156261	DNA	circular	03-APR-2023
NC_056790	122456	DNA	circular	03-APR-2023
NC_056791	137576	DNA	circular	03-APR-2023
NC_056794	155908	DNA	circular	03-APR-2023
NC_056910	133923	DNA	circular	03-APR-2023
NC_057081	134485	DNA	circular	03-APR-2023
NC_057170	155916	DNA	circular	03-APR-2023
NC_057222	174192	DNA	circular	03-APR-2023
NC_057231	130541	DNA	circular	03-APR-2023
LC604816	90934	DNA	circular	13-JAN-2024
MZ365053	140389	DNA	circular	02-AUG-2021
MZ365054	216580	DNA	circular	02-AUG-2021
MZ365055	208097	DNA	circular	02-AUG-2021
MN853882	180262	DNA	circular	28-JUL-2021
MT742551	119434	DNA	circular	28-JUL-2021
MW556321	191757	DNA	circular	26-JUL-2021
MW845774	116421	DNA	circular	23-NOV-2021
MW845775	116845	DNA	circular	23-NOV-2021
MW845776	117717	DNA	circular	23-NOV-2021
MW845777	118127	DNA	circular	23-NOV-2021
MW845778	116523	DNA	circular	23-NOV-2021
MW845779	119034	DNA	circular	23-NOV-2021
MW845780	118222	DNA	circular	23-NOV-2021
MZ352931	116421	DNA	circular	18-JUL-2021
MW784163	124563	DNA	circular	03-MAR-2022
MW784164	124563	DNA	circular	12-JUL-2021
MW784165	124392	DNA	circular	03-MAR-2022
MW784166	124401	DNA	circular	03-MAR-2022
MW784167	124258	DNA	circular	03-MAR-2022
MW784168	124272	DNA	circular	03-MAR-2022
MW784169	124450	DNA	circular	03-MAR-2022
MZ158703	99041	DNA	circular	30-NOV-2021
MW971520	139309	DNA	circular	05-AUG-2021
NC_056103	33539	DNA	circular	03-APR-2023
NC_056288	130085	DNA	circular	03-APR-2023
MT383637	128801	DNA	circular	15-JUN-2021
MT383638	156261	DNA	circular	15-JUN-2021
MT383641	122456	DNA	circular	15-JUN-2021
MT383642	137576	DNA	circular	15-JUN-2021
MT383645	155908	DNA	circular	15-JUN-2021
MW543060	117995	DNA	circular	14-JUN-2021
MW543061	107242	DNA	circular	14-JUN-2021
MZ156027	128910	DNA	circular	13-JUN-2021
MZ156028	131355	DNA	circular	13-JUN-2021
MZ156029	130581	DNA	circular	13-JUN-2021
MZ156030	129340	DNA	circular	13-JUN-2021
MZ156031	129997	DNA	circular	13-JUN-2021
MZ156032	130196	DNA	circular	13-JUN-2021
MZ156033	130839	DNA	circular	13-JUN-2021
MZ156034	130301	DNA	circular	13-JUN-2021
MZ156035	130610	DNA	circular	13-JUN-2021
MZ156036	130548	DNA	circular	13-JUN-2021
MZ156037	130274	DNA	circular	13-JUN-2021
MZ156038	130965	DNA	circular	13-JUN-2021
MZ156039	130044	DNA	circular	13-JUN-2021
MZ156040	130860	DNA	circular	13-JUN-2021
MZ156041	129228	DNA	circular	13-JUN-2021
MZ156042	129931	DNA	circular	13-JUN-2021
MZ156043	130498	DNA	circular	13-JUN-2021
MZ156044	130568	DNA	circular	13-JUN-2021
MT767060	130587	DNA	circular	08-JUN-2021
MT767062	130604	DNA	circular	08-JUN-2021
MN240356	178394	DNA	circular	02-JUN-2021
MN240357	177003	DNA	circular	02-JUN-2021
MN240358	176763	DNA	circular	02-JUN-2021
MW344287	91189	DNA	circular	26-MAY-2021
MW353781	96824	DNA	circular	26-MAY-2021
MW548841	114291	DNA	circular	26-MAY-2021
MW810349	165292	DNA	circular	26-MAY-2021
MW762687	129988	DNA	circular	22-MAY-2021
MW899036	129320	DNA	circular	17-MAY-2021
MK408749	170562	DNA	circular	15-MAY-2021
MT271684	126969	DNA	circular	12-MAY-2021
MW645082	157307	DNA	circular	10-MAY-2021
MW645084	156701	DNA	circular	10-MAY-2021
MW250871	159341	DNA	circular	12-MAY-2021
MW250872	146367	DNA	circular	11-MAY-2021
MW250873	187104	DNA	circular	08-MAY-2021
MW250874	195349	DNA	circular	03-JUN-2021
MW250875	179946	DNA	circular	08-MAY-2021
MW675661	206801	DNA	circular	28-APR-2021
MW675662	20521	DNA	circular	28-APR-2021
MW675663	182524	DNA	circular	28-APR-2021
MW675664	209958	DNA	circular	28-APR-2021
MW675665	35287	DNA	circular	28-APR-2021
MW675666	180597	DNA	circular	28-APR-2021
MW675667	180441	DNA	circular	28-APR-2021
MW675668	17654	DNA	circular	28-APR-2021
MW675669	122406	DNA	circular	28-APR-2021
MW675670	57678	DNA	circular	28-APR-2021
MW675671	17266	DNA	circular	28-APR-2021
MW675672	189674	DNA	circular	28-APR-2021
MW675673	16371	DNA	circular	28-APR-2021
MW675674	181144	DNA	circular	28-APR-2021
MW675675	183689	DNA	circular	28-APR-2021
MW675676	16340	DNA	circular	28-APR-2021
MW675677	16833	DNA	circular	28-APR-2021
MW675678	181380	DNA	circular	28-APR-2021
MW675679	16379	DNA	circular	28-APR-2021
MW675680	179843	DNA	circular	28-APR-2021
MW675681	13045	DNA	circular	28-APR-2021
MW675682	20742	DNA	circular	28-APR-2021
MW675683	169188	DNA	circular	28-APR-2021
MW675684	17026	DNA	circular	28-APR-2021
MW699788	88878	DNA	circular	27-APR-2021
MW415415	134950	DNA	circular	21-APR-2021
NC_054192	47997	DNA	circular	03-APR-2023
NC_054284	170702	DNA	circular	03-APR-2023
MW561224	122056	DNA	circular	05-APR-2021
MW561225	123615	DNA	circular	05-APR-2021
NC_053868	138101	DNA	circular	03-APR-2023
NC_053611	109820	DNA	circular	03-APR-2023
NC_053612	94654	DNA	circular	03-APR-2023
NC_053613	117606	DNA	circular	03-APR-2023
NC_053614	103444	DNA	circular	03-APR-2023
NC_053615	96673	DNA	circular	03-APR-2023
NC_053616	118206	DNA	circular	03-APR-2023
NC_053621	116284	DNA	circular	03-APR-2023
MW077730	111026	DNA	circular	17-MAR-2021
MT920676	168369	DNA	circular	16-MAR-2021
MT577052	165412	DNA	circular	09-MAR-2021
MW412838	118107	DNA	circular	03-JUL-2021
MW309501	172617	DNA	circular	02-MAR-2021
AP014542	89270	DNA	circular	08-MAY-2021
AP014543	86483	DNA	circular	08-MAY-2021
MT471323	106429	DNA	circular	17-FEB-2021
MT471324	106360	DNA	circular	17-FEB-2021
MT471325	106360	DNA	circular	17-FEB-2021
MT471326	106360	DNA	circular	17-FEB-2021
MT471327	106360	DNA	circular	17-FEB-2021
MT471328	106419	DNA	circular	17-FEB-2021
MT471329	106359	DNA	circular	17-FEB-2021
MT471330	106359	DNA	circular	17-FEB-2021
MT471331	107730	DNA	circular	17-FEB-2021
MT471332	107730	DNA	circular	17-FEB-2021
MT471333	107945	DNA	circular	17-FEB-2021
MT471334	107414	DNA	circular	17-FEB-2021
MT872223	117734	DNA	circular	10-FEB-2021
MT872224	117734	DNA	circular	10-FEB-2021
MT872225	117734	DNA	circular	10-FEB-2021
MT872226	117734	DNA	circular	10-FEB-2021
MT732096	130541	DNA	circular	02-FEB-2021
MW292565	174192	DNA	circular	02-FEB-2021
MT859097	155916	DNA	circular	05-MAR-2021
MK798154	134485	DNA	circular	20-JAN-2021
MK798155	139208	DNA	circular	20-JAN-2021
MW175522	133923	DNA	circular	10-JAN-2021
LC523992	414859	DNA	circular	07-JAN-2021
MT873582	124323	DNA	circular	23-DEC-2020
MN561187	130085	DNA	circular	16-DEC-2020
MT909785	33539	DNA	circular	12-DEC-2020
NC_051883	147972	DNA	circular	03-APR-2023
LC564893	109550	DNA	circular	08-DEC-2020
MT916929	94226	DNA	circular	25-NOV-2020
MT948112	170702	DNA	circular	25-NOV-2020
NC_051457	171419	DNA	circular	03-APR-2023
