protein	Uniref90 representative	full name	descriptions	UniProt Representative link	pfam domains	pfam_links	alignment_path	n_seqs	structure_path
ftsH_ycf46	O19922	ATP-dependent zinc metalloprotease FtsH	Acts as a processive, ATP-dependent zinc metallopeptidase	https://www.uniprot.org/uniprotkb/O19922/entry	PF00004,PF00005,PF00158,PF00308,PF00493,PF00910,PF01078,PF01434,PF01591,PF01695,PF01745,PF01926,PF02367,PF02421,PF02562,PF03215,PF03266,PF03969,PF04851,PF05272,PF05496,PF05621,PF05673,PF05729,PF05872,PF06068,PF06414,PF06745,PF07088,PF07724,PF07726,PF07728,PF08433,PF08477,PF09848,PF10662,PF13086,PF13173,PF13191,PF13207,PF13238,PF13245,PF13401,PF13479,PF13481,PF13521,PF13555,PF13604,PF13671	https://www.ebi.ac.uk/interpro/entry/pfam/PF00004,https://www.ebi.ac.uk/interpro/entry/pfam/PF00005,https://www.ebi.ac.uk/interpro/entry/pfam/PF00158,https://www.ebi.ac.uk/interpro/entry/pfam/PF00308,https://www.ebi.ac.uk/interpro/entry/pfam/PF00493,https://www.ebi.ac.uk/interpro/entry/pfam/PF00910,https://www.ebi.ac.uk/interpro/entry/pfam/PF01078,https://www.ebi.ac.uk/interpro/entry/pfam/PF01434,https://www.ebi.ac.uk/interpro/entry/pfam/PF01591,https://www.ebi.ac.uk/interpro/entry/pfam/PF01695,https://www.ebi.ac.uk/interpro/entry/pfam/PF01745,https://www.ebi.ac.uk/interpro/entry/pfam/PF01926,https://www.ebi.ac.uk/interpro/entry/pfam/PF02367,https://www.ebi.ac.uk/interpro/entry/pfam/PF02421,https://www.ebi.ac.uk/interpro/entry/pfam/PF02562,https://www.ebi.ac.uk/interpro/entry/pfam/PF03215,https://www.ebi.ac.uk/interpro/entry/pfam/PF03266,https://www.ebi.ac.uk/interpro/entry/pfam/PF03969,https://www.ebi.ac.uk/interpro/entry/pfam/PF04851,https://www.ebi.ac.uk/interpro/entry/pfam/PF05272,https://www.ebi.ac.uk/interpro/entry/pfam/PF05496,https://www.ebi.ac.uk/interpro/entry/pfam/PF05621,https://www.ebi.ac.uk/interpro/entry/pfam/PF05673,https://www.ebi.ac.uk/interpro/entry/pfam/PF05729,https://www.ebi.ac.uk/interpro/entry/pfam/PF05872,https://www.ebi.ac.uk/interpro/entry/pfam/PF06068,https://www.ebi.ac.uk/interpro/entry/pfam/PF06414,https://www.ebi.ac.uk/interpro/entry/pfam/PF06745,https://www.ebi.ac.uk/interpro/entry/pfam/PF07088,https://www.ebi.ac.uk/interpro/entry/pfam/PF07724,https://www.ebi.ac.uk/interpro/entry/pfam/PF07726,https://www.ebi.ac.uk/interpro/entry/pfam/PF07728,https://www.ebi.ac.uk/interpro/entry/pfam/PF08433,https://www.ebi.ac.uk/interpro/entry/pfam/PF08477,https://www.ebi.ac.uk/interpro/entry/pfam/PF09848,https://www.ebi.ac.uk/interpro/entry/pfam/PF10662,https://www.ebi.ac.uk/interpro/entry/pfam/PF13086,https://www.ebi.ac.uk/interpro/entry/pfam/PF13173,https://www.ebi.ac.uk/interpro/entry/pfam/PF13191,https://www.ebi.ac.uk/interpro/entry/pfam/PF13207,https://www.ebi.ac.uk/interpro/entry/pfam/PF13238,https://www.ebi.ac.uk/interpro/entry/pfam/PF13245,https://www.ebi.ac.uk/interpro/entry/pfam/PF13401,https://www.ebi.ac.uk/interpro/entry/pfam/PF13479,https://www.ebi.ac.uk/interpro/entry/pfam/PF13481,https://www.ebi.ac.uk/interpro/entry/pfam/PF13521,https://www.ebi.ac.uk/interpro/entry/pfam/PF13555,https://www.ebi.ac.uk/interpro/entry/pfam/PF13604,https://www.ebi.ac.uk/interpro/entry/pfam/PF13671	/public/downloads/ftsH_ycf46.fa	1249.0	/public/downloads/ftsH_ycf46.cif
ftsW	Q9MUM4	Putative peptidoglycan glycosyltransferase FtsW	Could play a role in chloroplast division/peptidoglycan biosynthesis	https://www.uniprot.org/uniprotkb/Q9MUM4/entry	PF01098	https://www.ebi.ac.uk/interpro/entry/pfam/PF01098	/public/downloads/ftsW.fa	15.0	/public/downloads/ftsW.cif
glnB	P51254	Nitrogen regulatory protein P-II	P-II indirectly controls the transcription of the glutamine synthetase gene (glnA). P-II prevents NR-II-catalyzed conversion of NR-I to NR-I-phosphate, the transcriptional activator of glnA. When P-II is uridylylated to P-II-UMP, these events are reversed. When the ratio of Gln to 2-ketoglutarate decreases, P-II is uridylylated to P-II-UMP, which causes the deadenylation of glutamine synthetase, so activating the enzyme (By similarity)	https://www.uniprot.org/uniprotkb/P51254/entry	PF00543	https://www.ebi.ac.uk/interpro/entry/pfam/PF00543	/public/downloads/glnB.fa	24.0	/public/downloads/glnB.cif
gltB	Q1XDB2	Ferredoxin-dependent glutamate synthase		https://www.uniprot.org/uniprotkb/Q1XDB2/entry	PF00310,PF01070,PF01493,PF01645,PF04898	https://www.ebi.ac.uk/interpro/entry/pfam/PF00310,https://www.ebi.ac.uk/interpro/entry/pfam/PF01070,https://www.ebi.ac.uk/interpro/entry/pfam/PF01493,https://www.ebi.ac.uk/interpro/entry/pfam/PF01645,https://www.ebi.ac.uk/interpro/entry/pfam/PF04898	/public/downloads/gltB.fa	256.0	/public/downloads/gltB.cif
groEL	P51349	Chaperonin GroEL, chloroplastic	Together with its co-chaperonin GroES, plays an essential role in assisting protein folding. The GroEL-GroES system forms a nano-cage that allows encapsulation of the non-native substrate proteins and provides a physical environment optimized to promote and accelerate protein folding	https://www.uniprot.org/uniprotkb/P51349/entry	PF00118	https://www.ebi.ac.uk/interpro/entry/pfam/PF00118	/public/downloads/groEL.fa	523.0	/public/downloads/groEL.cif
hisH	Q9TLQ8	Imidazole glycerol phosphate synthase subunit hisH	IGPS catalyzes the conversion of PRFAR and glutamine to IGP, AICAR and glutamate. The HisH subunit catalyzes the hydrolysis of glutamine to glutamate and ammonia as part of the synthesis of IGP and AICAR. The resulting ammonia molecule is channeled to the active site of HisF (By similarity)	https://www.uniprot.org/uniprotkb/Q9TLQ8/entry	PF00117,PF01174,PF03575,PF07685,PF07722,PF13507	https://www.ebi.ac.uk/interpro/entry/pfam/PF00117,https://www.ebi.ac.uk/interpro/entry/pfam/PF01174,https://www.ebi.ac.uk/interpro/entry/pfam/PF03575,https://www.ebi.ac.uk/interpro/entry/pfam/PF07685,https://www.ebi.ac.uk/interpro/entry/pfam/PF07722,https://www.ebi.ac.uk/interpro/entry/pfam/PF13507	/public/downloads/hisH.fa	15.0	/public/downloads/hisH.cif
hlpA	P0AEU7	Chaperone protein Skp	Molecular chaperone that interacts specifically with outer membrane proteins, thus maintaining the solubility of early folding intermediates during passage through the periplasm. Required for the efficient release of OmpA from the inner membrane, the maintenance of its solubility in the periplasm, and, in association with lipopolysaccharide (LPS), for the efficient folding and insertion of OmpA into the outer membrane	https://www.uniprot.org/uniprotkb/P0AEU7/entry	PF00216	https://www.ebi.ac.uk/interpro/entry/pfam/PF00216	/public/downloads/hlpA.fa	35.0	/public/downloads/hlpA.cif
ilvB	Q1XDF6	Acetolactate synthase large subunit		https://www.uniprot.org/uniprotkb/Q1XDF6/entry	PF00205,PF02775,PF02776	https://www.ebi.ac.uk/interpro/entry/pfam/PF00205,https://www.ebi.ac.uk/interpro/entry/pfam/PF02775,https://www.ebi.ac.uk/interpro/entry/pfam/PF02776	/public/downloads/ilvB.fa	369.0	/public/downloads/ilvB.cif
ilvH	Q1XDQ7	Acetolactate synthase small subunit		https://www.uniprot.org/uniprotkb/Q1XDQ7/entry	PF01842,PF10369,PF13291,PF13710	https://www.ebi.ac.uk/interpro/entry/pfam/PF01842,https://www.ebi.ac.uk/interpro/entry/pfam/PF10369,https://www.ebi.ac.uk/interpro/entry/pfam/PF13291,https://www.ebi.ac.uk/interpro/entry/pfam/PF13710	/public/downloads/ilvH.fa	355.0	/public/downloads/ilvH.cif
infA	P56290	Translation initiation factor IF-1, chloroplastic	One of the essential components for the initiation of protein synthesis. Stabilizes the binding of IF-2 and IF-3 on the 30S subunit to which N-formylmethionyl-tRNA(fMet) subsequently binds. Helps modulate mRNA selection, yielding the 30S pre-initiation complex (PIC). Upon addition of the 50S ribosomal subunit IF-1, IF-2 and IF-3 are released leaving the mature 70S translation initiation complex	https://www.uniprot.org/uniprotkb/P56290/entry	PF00575,PF01176	https://www.ebi.ac.uk/interpro/entry/pfam/PF00575,https://www.ebi.ac.uk/interpro/entry/pfam/PF01176	/public/downloads/infA.fa	242.0	/public/downloads/infA.cif
infB	P51257	Translation initiation factor IF-2, chloroplastic	One of the essential components for the initiation of protein synthesis. Protects formylmethionyl-tRNA from spontaneous hydrolysis and promotes its binding to the 30S ribosomal subunits. Also involved in the hydrolysis of GTP during the formation of the 70S ribosomal complex (By similarity).	https://www.uniprot.org/uniprotkb/P51257/entry	PF00009,PF00025,PF00071,PF00350,PF01926,PF02421,PF03029,PF03144,PF03193,PF04760,PF08477,PF10662,PF11987,PF12631	https://www.ebi.ac.uk/interpro/entry/pfam/PF00009,https://www.ebi.ac.uk/interpro/entry/pfam/PF00025,https://www.ebi.ac.uk/interpro/entry/pfam/PF00071,https://www.ebi.ac.uk/interpro/entry/pfam/PF00350,https://www.ebi.ac.uk/interpro/entry/pfam/PF01926,https://www.ebi.ac.uk/interpro/entry/pfam/PF02421,https://www.ebi.ac.uk/interpro/entry/pfam/PF03029,https://www.ebi.ac.uk/interpro/entry/pfam/PF03144,https://www.ebi.ac.uk/interpro/entry/pfam/PF03193,https://www.ebi.ac.uk/interpro/entry/pfam/PF04760,https://www.ebi.ac.uk/interpro/entry/pfam/PF08477,https://www.ebi.ac.uk/interpro/entry/pfam/PF10662,https://www.ebi.ac.uk/interpro/entry/pfam/PF11987,https://www.ebi.ac.uk/interpro/entry/pfam/PF12631	/public/downloads/infB.fa	282.0	/public/downloads/infB.cif
infC	Q1XDQ6	Translation initiation factor IF-3, chloroplastic	IF-3 binds to the 30S ribosomal subunit and shifts the equilibrium between 70S ribosomes and their 50S and 30S subunits in favor of the free subunits, thus enhancing the availability of 30S subunits on which protein synthesis initiation begins	https://www.uniprot.org/uniprotkb/Q1XDQ6/entry	PF00707,PF05198	https://www.ebi.ac.uk/interpro/entry/pfam/PF00707,https://www.ebi.ac.uk/interpro/entry/pfam/PF05198	/public/downloads/infC.fa	264.0	/public/downloads/infC.cif
leuD	Q6B919	3-isopropylmalate dehydratase small subunit		https://www.uniprot.org/uniprotkb/Q6B919/entry	PF00694,PF06434	https://www.ebi.ac.uk/interpro/entry/pfam/PF00694,https://www.ebi.ac.uk/interpro/entry/pfam/PF06434	/public/downloads/leuD.fa	15.0	/public/downloads/leuD.cif
lpxA	Q9TLX4	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase	Involved in the biosynthesis of lipid A, a phosphorylated glycolipid that in bacteria anchors the lipopolysaccharide to the outer membrane of the cell. The target for the lipopolysaccharides produced in the chloroplast could either be the cell envelope of the eukaryote or the plastid membrane	https://www.uniprot.org/uniprotkb/Q9TLX4/entry	PF00132,PF13720,PF14602	https://www.ebi.ac.uk/interpro/entry/pfam/PF00132,https://www.ebi.ac.uk/interpro/entry/pfam/PF13720,https://www.ebi.ac.uk/interpro/entry/pfam/PF14602	/public/downloads/lpxA.fa	11.0	/public/downloads/lpxA.cif
menD	A0A5P9RTC7	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase		https://www.uniprot.org/uniprotkb/A0A5P9RTC7/entry	PF02775,PF02776	https://www.ebi.ac.uk/interpro/entry/pfam/PF02775,https://www.ebi.ac.uk/interpro/entry/pfam/PF02776	/public/downloads/menD.fa	9.0	/public/downloads/menD.cif
menE	A0A5P9RU30	2-succinylbenzoate--CoA ligase		https://www.uniprot.org/uniprotkb/A0A5P9RU30/entry	PF00501,PF13193	https://www.ebi.ac.uk/interpro/entry/pfam/PF00501,https://www.ebi.ac.uk/interpro/entry/pfam/PF13193	/public/downloads/menE.fa	9.0	/public/downloads/menE.cif
menF	Q9TM09	isochorismate synthase		https://www.uniprot.org/uniprotkb/Q9TM09/entry	PF00425	https://www.ebi.ac.uk/interpro/entry/pfam/PF00425	/public/downloads/menF.fa	9.0	/public/downloads/menF.cif
minD	Q9MUM5	Putative septum site-determining protein MinD	ATPase required for the correct placement of the division site	https://www.uniprot.org/uniprotkb/Q9MUM5/entry	PF00142,PF00448,PF01656,PF01695,PF02374,PF03308,PF06564,PF07015,PF09140,PF10609,PF13479,PF13481,PF13500,PF13614	https://www.ebi.ac.uk/interpro/entry/pfam/PF00142,https://www.ebi.ac.uk/interpro/entry/pfam/PF00448,https://www.ebi.ac.uk/interpro/entry/pfam/PF01656,https://www.ebi.ac.uk/interpro/entry/pfam/PF01695,https://www.ebi.ac.uk/interpro/entry/pfam/PF02374,https://www.ebi.ac.uk/interpro/entry/pfam/PF03308,https://www.ebi.ac.uk/interpro/entry/pfam/PF06564,https://www.ebi.ac.uk/interpro/entry/pfam/PF07015,https://www.ebi.ac.uk/interpro/entry/pfam/PF09140,https://www.ebi.ac.uk/interpro/entry/pfam/PF10609,https://www.ebi.ac.uk/interpro/entry/pfam/PF13479,https://www.ebi.ac.uk/interpro/entry/pfam/PF13481,https://www.ebi.ac.uk/interpro/entry/pfam/PF13500,https://www.ebi.ac.uk/interpro/entry/pfam/PF13614	/public/downloads/minD.fa	145.0	/public/downloads/minD.cif
minE	P56350	Putative cell division topological specificity factor	Prevents the cell division inhibition by proteins minC and minD at internal division sites while permitting inhibition at polar sites	https://www.uniprot.org/uniprotkb/P56350/entry	PF03776	https://www.ebi.ac.uk/interpro/entry/pfam/PF03776	/public/downloads/minE.fa	29.0	/public/downloads/minE.cif
mntB	A0A1C9CDW0*	Manganese transport system membrane protein MntB		https://www.uniprot.org/uniprotkb/A0A1C9CDW0/entry	PF00950,PF01032	https://www.ebi.ac.uk/interpro/entry/pfam/PF00950,https://www.ebi.ac.uk/interpro/entry/pfam/PF01032	/public/downloads/mntB.fa	36.0	/public/downloads/mntB.cif
moeB	Q1XDF1	Probable molybdopterin-synthase adenylyltransferase	Catalyzes the adenylation by ATP of the carboxyl group of the C-terminal glycine of sulfur carrier protein moaD	https://www.uniprot.org/uniprotkb/Q1XDF1/entry	PF00581,PF00899,PF01488,PF03435	https://www.ebi.ac.uk/interpro/entry/pfam/PF00581,https://www.ebi.ac.uk/interpro/entry/pfam/PF00899,https://www.ebi.ac.uk/interpro/entry/pfam/PF01488,https://www.ebi.ac.uk/interpro/entry/pfam/PF03435	/public/downloads/moeB.fa	247.0	/public/downloads/moeB.cif
nblA	A0A023HRF9	Uncharacterized protein ycf18		https://www.uniprot.org/uniprotkb/A0A023HRF9/entry	PF04485	https://www.ebi.ac.uk/interpro/entry/pfam/PF04485	/public/downloads/nblA.fa	256.0	/public/downloads/nblA.cif
ndhA	Q32RK2	NAD(P)H-quinone oxidoreductase subunit 1, chloroplastic	NDH shuttles electrons from NAD(P)H:plastoquinone, via FMN and iron-sulfur (Fe-S) centers, to quinones in the photosynthetic chain and possibly in a chloroplast respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be plastoquinone. Couples the redox reaction to proton translocation, and thus conserves the redox energy in a proton gradient	https://www.uniprot.org/uniprotkb/Q32RK2/entry	PF00146	https://www.ebi.ac.uk/interpro/entry/pfam/PF00146	/public/downloads/ndhA.fa	53.0	/public/downloads/ndhA.cif
ndhB	Q19V78	NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic	NDH shuttles electrons from NAD(P)H:plastoquinone, via FMN and iron-sulfur (Fe-S) centers, to quinones in the photosynthetic chain and possibly in a chloroplast respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be plastoquinone. Couples the redox reaction to proton translocation, and thus conserves the redox energy in a proton gradient	https://www.uniprot.org/uniprotkb/Q19V78/entry	PF00361	https://www.ebi.ac.uk/interpro/entry/pfam/PF00361	/public/downloads/ndhB.fa	50.0	/public/downloads/ndhB.cif
ndhC	Q9MUQ9	NAD(P)H-quinone oxidoreductase subunit 3, chloroplastic	NDH shuttles electrons from NAD(P)H:plastoquinone, via FMN and iron-sulfur (Fe-S) centers, to quinones in the photosynthetic chain and possibly in a chloroplast respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be plastoquinone. Couples the redox reaction to proton translocation, and thus conserves the redox energy in a proton gradient	https://www.uniprot.org/uniprotkb/Q9MUQ9/entry	PF00507	https://www.ebi.ac.uk/interpro/entry/pfam/PF00507	/public/downloads/ndhC.fa	44.0	/public/downloads/ndhC.cif
ndhD	Q9TKV8	NAD(P)H-quinone oxidoreductase chain 4, chloroplastic		https://www.uniprot.org/uniprotkb/Q9TKV8/entry	PF00361	https://www.ebi.ac.uk/interpro/entry/pfam/PF00361	/public/downloads/ndhD.fa	55.0	/public/downloads/ndhD.cif
ndhE	Q9MUL4	NAD(P)H-quinone oxidoreductase subunit 4L, chloroplastic	NDH shuttles electrons from NAD(P)H:plastoquinone, via FMN and iron-sulfur (Fe-S) centers, to quinones in the photosynthetic chain and possibly in a chloroplast respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be plastoquinone. Couples the redox reaction to proton translocation, and thus conserves the redox energy in a proton gradient	https://www.uniprot.org/uniprotkb/Q9MUL4/entry	PF00420	https://www.ebi.ac.uk/interpro/entry/pfam/PF00420	/public/downloads/ndhE.fa	55.0	/public/downloads/ndhE.cif
ndhF	Q9TKV7	NAD(P)H-quinone oxidoreductase subunit 5, chloroplastic	NDH shuttles electrons from NAD(P)H:plastoquinone, via FMN and iron-sulfur (Fe-S) centers, to quinones in the photosynthetic chain and possibly in a chloroplast respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be plastoquinone. Couples the redox reaction to proton translocation, and thus conserves the redox energy in a proton gradient (By similarity)	https://www.uniprot.org/uniprotkb/Q9TKV7/entry	PF00361,PF00662,PF01010,PF06455	https://www.ebi.ac.uk/interpro/entry/pfam/PF00361,https://www.ebi.ac.uk/interpro/entry/pfam/PF00662,https://www.ebi.ac.uk/interpro/entry/pfam/PF01010,https://www.ebi.ac.uk/interpro/entry/pfam/PF06455	/public/downloads/ndhF.fa	51.0	/public/downloads/ndhF.cif
ndhG	Q32RK0	NAD(P)H-quinone oxidoreductase subunit 6, chloroplastic	NDH shuttles electrons from NAD(P)H:plastoquinone, via FMN and iron-sulfur (Fe-S) centers, to quinones in the photosynthetic chain and possibly in a chloroplast respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be plastoquinone. Couples the redox reaction to proton translocation, and thus conserves the redox energy in a proton gradient (By similarity)	https://www.uniprot.org/uniprotkb/Q32RK0/entry	PF00499	https://www.ebi.ac.uk/interpro/entry/pfam/PF00499	/public/downloads/ndhG.fa	53.0	/public/downloads/ndhG.cif
ndhH	Q19V59	NAD(P)H-quinone oxidoreductase subunit H, chloroplastic	NDH shuttles electrons from NAD(P)H:plastoquinone, via FMN and iron-sulfur (Fe-S) centers, to quinones in the photosynthetic chain and possibly in a chloroplast respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be plastoquinone. Couples the redox reaction to proton translocation, and thus conserves the redox energy in a proton gradient	https://www.uniprot.org/uniprotkb/Q19V59/entry	PF00346	https://www.ebi.ac.uk/interpro/entry/pfam/PF00346	/public/downloads/ndhH.fa	52.0	/public/downloads/ndhH.cif
ndhJ	Q32RI4	NAD(P)H-quinone oxidoreductase subunit J, chloroplastic	NDH shuttles electrons from NAD(P)H:plastoquinone, via FMN and iron-sulfur (Fe-S) centers, to quinones in the photosynthetic chain and possibly in a chloroplast respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be plastoquinone. Couples the redox reaction to proton translocation, and thus conserves the redox energy in a proton gradient	https://www.uniprot.org/uniprotkb/Q32RI4/entry	PF00329	https://www.ebi.ac.uk/interpro/entry/pfam/PF00329	/public/downloads/ndhJ.fa	37.0	/public/downloads/ndhJ.cif
ndhK	A2CI36	NAD(P)H-quinone oxidoreductase subunit K, chloroplastic	NDH shuttles electrons from NAD(P)H:plastoquinone, via FMN and iron-sulfur (Fe-S) centers, to quinones in the photosynthetic chain and possibly in a chloroplast respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be plastoquinone. Couples the redox reaction to proton translocation, and thus conserves the redox energy in a proton gradient	https://www.uniprot.org/uniprotkb/A2CI36/entry	PF01058	https://www.ebi.ac.uk/interpro/entry/pfam/PF01058	/public/downloads/ndhK.fa	32.0	/public/downloads/ndhK.cif
ntcA	P29283	Global nitrogen regulator		https://www.uniprot.org/uniprotkb/A0A1C9CDR1/entry	PF00027,PF00325,PF01047,PF12802,PF13412,PF13545,PF13730	https://www.ebi.ac.uk/interpro/entry/pfam/PF00027,https://www.ebi.ac.uk/interpro/entry/pfam/PF00325,https://www.ebi.ac.uk/interpro/entry/pfam/PF01047,https://www.ebi.ac.uk/interpro/entry/pfam/PF12802,https://www.ebi.ac.uk/interpro/entry/pfam/PF13412,https://www.ebi.ac.uk/interpro/entry/pfam/PF13545,https://www.ebi.ac.uk/interpro/entry/pfam/PF13730	/public/downloads/ntcA.fa	246.0	/public/downloads/ntcA.cif
odpA	P51267	Pyruvate dehydrogenase E1 component subunit alpha	The pyruvate dehydrogenase complex catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2). It contains multiple copies of three enzymatic components: pyruvate dehydrogenase (E1), dihydrolipoamide acetyltransferase (E2) and lipoamide dehydrogenase (E3) (By similarity)	https://www.uniprot.org/uniprotkb/P51267/entry	PF00456,PF00676,PF02775	https://www.ebi.ac.uk/interpro/entry/pfam/PF00456,https://www.ebi.ac.uk/interpro/entry/pfam/PF00676,https://www.ebi.ac.uk/interpro/entry/pfam/PF02775	/public/downloads/odpA.fa	261.0	/public/downloads/odpA.cif
odpB	Q1XDM1	Pyruvate dehydrogenase E1 component subunit beta	The pyruvate dehydrogenase complex catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2). It contains multiple copies of three enzymatic components: pyruvate dehydrogenase (E1), dihydrolipoamide acetyltransferase (E2) and lipoamide dehydrogenase (E3) (By similarity)	https://www.uniprot.org/uniprotkb/Q1XDM1/entry	PF02779,PF02780	https://www.ebi.ac.uk/interpro/entry/pfam/PF02779,https://www.ebi.ac.uk/interpro/entry/pfam/PF02780	/public/downloads/odpB.fa	299.0	/public/downloads/odpB.cif
ompR	A0A126G275	Photosystem II D2 protein	Photosystem II (PSII) is a light-driven water:plastoquinone oxidoreductase that uses light energy to abstract electrons from H(2)O, generating O(2) and a proton gradient subsequently used for ATP formation. It consists of a core antenna complex that captures photons, and an electron transfer chain that converts photonic excitation into a charge separation. The D1/D2 (PsbA/PsbD) reaction center heterodimer binds P680, the primary electron donor of PSII as well as several subsequent electron acceptors. D2 is needed for assembly of a stable PSII complex	https://www.uniprot.org/uniprotkb/A0A126G275/entry	PF00072,PF00196,PF00486,PF04545,PF08281,PF13384,PF13412	https://www.ebi.ac.uk/interpro/entry/pfam/PF00072,https://www.ebi.ac.uk/interpro/entry/pfam/PF00196,https://www.ebi.ac.uk/interpro/entry/pfam/PF00486,https://www.ebi.ac.uk/interpro/entry/pfam/PF04545,https://www.ebi.ac.uk/interpro/entry/pfam/PF08281,https://www.ebi.ac.uk/interpro/entry/pfam/PF13384,https://www.ebi.ac.uk/interpro/entry/pfam/PF13412	/public/downloads/ompR.fa	563.0	/public/downloads/ompR.cif
pbsA	P51271	Heme oxygenase	Catalyzes the opening of the heme ring with the release of iron. Key enzyme in the synthesis of the chromophoric part of the photosynthetic antennae	https://www.uniprot.org/uniprotkb/P51271/entry	PF01126	https://www.ebi.ac.uk/interpro/entry/pfam/PF01126	/public/downloads/pbsA.fa	256.0	/public/downloads/pbsA.cif
petA	P51265	Cytochrome f	Component of the cytochrome b6-f complex, which mediates electron transfer between photosystem II (PSII) and photosystem I (PSI), cyclic electron flow around PSI, and state transitions	https://www.uniprot.org/uniprotkb/P51265/entry	PF01333	https://www.ebi.ac.uk/interpro/entry/pfam/PF01333	/public/downloads/petA.fa	789.0	/public/downloads/petA.cif
petB	Q1XDE6	Cytochrome b6	Component of the cytochrome b6-f complex, which mediates electron transfer between photosystem II (PSII) and photosystem I (PSI), cyclic electron flow around PSI, and state transitions	https://www.uniprot.org/uniprotkb/Q1XDE6/entry	PF00032,PF00033,PF13631	https://www.ebi.ac.uk/interpro/entry/pfam/PF00032,https://www.ebi.ac.uk/interpro/entry/pfam/PF00033,https://www.ebi.ac.uk/interpro/entry/pfam/PF13631	/public/downloads/petB.fa	850.0	/public/downloads/petB.cif
petD	Q1XDE7	Cytochrome b6-f complex subunit 4	Component of the cytochrome b6-f complex, which mediates electron transfer between photosystem II (PSII) and photosystem I (PSI), cyclic electron flow around PSI, and state transitions	https://www.uniprot.org/uniprotkb/Q1XDE7/entry	PF00032	https://www.ebi.ac.uk/interpro/entry/pfam/PF00032	/public/downloads/petD.fa	810.0	/public/downloads/petD.cif
petF	P00242	Ferredoxin	Ferredoxins are iron-sulfur proteins that transfer electrons in a wide variety of metabolic reactions	https://www.uniprot.org/uniprotkb/P00242/entry	PF00111,PF13510	https://www.ebi.ac.uk/interpro/entry/pfam/PF00111,https://www.ebi.ac.uk/interpro/entry/pfam/PF13510	/public/downloads/petF.fa	492.0	/public/downloads/petF.cif
petG	P51318	Cytochrome b6-f complex subunit 5	Component of the cytochrome b6-f complex, which mediates electron transfer between photosystem II (PSII) and photosystem I (PSI), cyclic electron flow around PSI, and state transitions. PetG is required for either the stability or assembly of the cytochrome b6-f complex	https://www.uniprot.org/uniprotkb/P51318/entry	PF02529	https://www.ebi.ac.uk/interpro/entry/pfam/PF02529	/public/downloads/petG.fa	837.0	/public/downloads/petG.cif
petJ	P00111	Cytochrome c6	Functions as an electron carrier between membrane-bound cytochrome b6-f and photosystem I in oxygenic photosynthesis	https://www.uniprot.org/uniprotkb/P00111/entry	PF00034,PF13442	https://www.ebi.ac.uk/interpro/entry/pfam/PF00034,https://www.ebi.ac.uk/interpro/entry/pfam/PF13442	/public/downloads/petJ.fa	349.0	/public/downloads/petJ.cif
petL	P51221	Cytochrome b6-f complex subunit 6	Component of the cytochrome b6-f complex, which mediates electron transfer between photosystem II (PSII) and photosystem I (PSI), cyclic electron flow around PSI, and state transitions. PetL is important for photoautotrophic growth as well as for electron transfer efficiency and stability of the cytochrome b6-f complex	https://www.uniprot.org/uniprotkb/P51221/entry	PF05115	https://www.ebi.ac.uk/interpro/entry/pfam/PF05115	/public/downloads/petL.fa	482.0	/public/downloads/petL.cif
petM	P51275	Cytochrome b6-f complex subunit 7	Component of the cytochrome b6-f complex, which mediates electron transfer between photosystem II (PSII) and photosystem I (PSI), cyclic electron flow around PSI, and state transitions	https://www.uniprot.org/uniprotkb/P51275/entry	PF08041	https://www.ebi.ac.uk/interpro/entry/pfam/PF08041	/public/downloads/petM.fa	496.0	/public/downloads/petM.cif
petN	Q1XDL0	Cytochrome b6-f complex subunit 8	Component of the cytochrome b6-f complex, which mediates electron transfer between photosystem II (PSII) and photosystem I (PSI), cyclic electron flow around PSI, and state transitions	https://www.uniprot.org/uniprotkb/Q1XDL0/entry	PF03742	https://www.ebi.ac.uk/interpro/entry/pfam/PF03742	/public/downloads/petN.fa	562.0	/public/downloads/petN.cif
pgmA	P51379	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	Catalyzes the interconversion of 2-phosphoglycerate and 3-phosphoglycerate	https://www.uniprot.org/uniprotkb/P51379/entry	PF00884,PF01663,PF01676,PF06415	https://www.ebi.ac.uk/interpro/entry/pfam/PF00884,https://www.ebi.ac.uk/interpro/entry/pfam/PF01663,https://www.ebi.ac.uk/interpro/entry/pfam/PF01676,https://www.ebi.ac.uk/interpro/entry/pfam/PF06415	/public/downloads/pgmA.fa	223.0	/public/downloads/pgmA.cif
